Year,NCSU,UNC,ECU,NCAT,UNCC,UNCG,APP,FSU,NCCU,UNCP,UNCW,WCU,WSSU,UNCA,ECSU,Hertford County,Mecklenburg County,Wilkes County,Orange County,Onslow County,United States,North Carolina
2004-05,1.93%,3.57%,4.52%,1.50%,2.22%,0.95%,2.54%,0.00%,1.78%,0.53%,1.80%,3.42%,4.71%,4.00%,0.77%,4.05%,1.61%,0.90%,-2.35%,14.14%,4.30%,-0.20%
2005-06,10.10%,7.99%,9.97%,9.84%,9.90%,10.13%,19.63%,12.78%,9.69%,13.46%,12.15%,9.42%,11.84%,10.31%,10.87%,-1.51%,3.43%,2.73%,4.77%,-3.67%,4.78%,4.76%
2006-07,6.93%,6.16%,9.56%,2.42%,6.51%,5.74%,8.13%,6.26%,6.19%,5.43%,5.68%,9.03%,5.34%,6.12%,4.81%,5.61%,7.46%,3.95%,15.37%,8.63%,4.72%,4.80%
2007-08,2.82%,1.00%,-0.77%,2.41%,3.30%,2.66%,2.15%,0.00%,2.35%,2.97%,2.99%,3.43%,1.95%,3.23%,0.83%,11.73%,2.10%,-9.03%,0.90%,10.50%,2.54%,4.02%
2008-09,4.92%,4.25%,1.71%,2.51%,3.08%,2.50%,3.51%,4.37%,4.64%,4.52%,9.72%,3.15%,3.99%,3.70%,3.78%,-6.60%,-7.22%,5.26%,-6.44%,-10.88%,-3.47%,-6.05%
2009-10,18.48%,19.03%,12.56%,20.01%,16.25%,17.65%,16.95%,9.49%,16.01%,11.05%,9.22%,18.67%,15.73%,8.05%,20.07%,1.67%,-1.50%,-4.46%,-0.98%,1.96%,-0.35%,-0.77%
2010-11,7.52%,5.19%,11.94%,5.71%,5.85%,10.56%,5.45%,18.34%,5.37%,13.01%,5.12%,4.98%,12.35%,12.96%,5.20%,-2.56%,-0.48%,0.19%,10.42%,8.26%,0.91%,1.41%
2011-12,11.19%,9.90%,9.33%,8.43%,7.78%,11.75%,9.28%,7.58%,8.46%,4.12%,9.42%,9.94%,7.47%,9.90%,92.00%,0.89%,6.30%,1.17%,-6.63%,-2.58%,1.72%,2.65%
2012-13,5.38%,8.31%,4.66%,7.33%,4.02%,3.89%,6.61%,4.23%,6.35%,6.01%,2.36%,5.61%,10.87%,5.42%,-39.77%,5.51%,-1.33%,1.51%,12.16%,2.15%,1.71%,1.66%
2013-14,0.97%,-0.20%,-1.64%,4.15%,2.83%,1.00%,1.29%,1.09%,0.00%,2.82%,0.78%,0.98%,4.57%,2.47%,1.56%,-10.59%,8.04%,-6.96%,1.40%,4.40%,2.69%,1.41%
2014-15,3.36%,2.80%,7.30%,5.96%,3.80%,4.53%,4.36%,4.97%,4.22%,5.33%,4.51%,5.17%,-0.12%,3.40%,3.56%,,,,,,,
